19	92
19	92
23	97
13	92
19	95
20	100
19	95
24	97
1	87
22	97
23	95
24	100
22	93
25	87
29	98
23	93
20	98
23	98
28	100
21	98
24	98
25	100
27	100
23	100
21	100
21	97
24	96
21	98
25	100
23	96
24	100
24	100
24	98
30	100
25	95
23	98
29	97
27	98
27	100
23	93
24	98
24	95
23	98
24	95
24	100
23	99
25	97
26	99
25	97
24	100
27	97
31	100
27	93
25	93
25	100
26	93
30	98
28	98
30	95
29	100
48	91
52	100
47	100
45	100
48	100
40	97
40	95
48	100
44	97
46	100
34	98
31	98
38	100
41	100
38	100
44	100
43	96
49	100
48	95
47	98
31	100
25	93
26	98
28	97
33	100
40	97
44	100
40	97
41	97
47	98
44	95
30	95
29	97
34	97
36	100
26	98
39	96
42	92
46	98
48	100
46	100
27	91
36	97
35	100
38	100
25	92
28	92
27	92
26	95
24	97
29	95
31	100
30	95
45	98
25	100
26	93
28	100
29	98
28	100
29	100
26	100
29	100
23	92
31	94
25	97
27	97
27	97
31	100
25	100
26	93
27	93
25	98
31	98
32	98
28	98
31	100
28	95
27	95
30	100
26	92
27	98
28	93
27	98
30	98
30	98
29	89
28	98
29	100
27	95
29	95
27	98
28	100
24	86
28	98
28	98
28	95
30	100
29	97
28	100
24	94
26	100
26	100
28	100
29	91
26	93
24	98
27	100
24	98
23	100
30	100
27	94
31	95
27	100
31	97
29	97
25	97
34	100
29	95
30	98
31	100
29	98
40	93
50	98
47	70
117	28
54	91
54	93
52	98
45	95
46	100
46	100
31	91
37	100
27	95
28	98
28	100
34	98
36	95
36	97
42	95
28	96
26	100
26	100
24	91
27	93
30	96
29	100
30	97
28	100
26	95
24	100
28	91
21	94
31	97
34	100
24	100
30	97
29	100
24	95
24	100
25	95
26	100
30	98
27	98
23	91
26	96
27	100
27	94
28	98
28	99
27	96
26	93
28	97
35	96
30	99
28	97
35	98
33	98
28	100
28	97
28	98
28	100
22	97
20	93
21	98
19	98
25	98
35	100
30	100
27	97
31	100
28	100
27	98
33	98
34	97
35	95
37	98
23	98
25	96
33	95
29	88
20	94
23	86
27	97
24	98
25	95
28	100
29	95
31	98
19	95
12	84
30	98
25	95
25	95
28	95
21	95
27	90
23	100
27	95
27	87
18	92
29	90
37	95
32	96
52	96
44	95
49	91
36	100
23	98
47	97
27	95
7	93
34	99
44	99
40	98
34	93
25	96
29	95
27	94
33	98
31	99
36	98
30	97
28	99
34	99
38	98
31	94
32	98
28	91
31	99
37	100
38	94
37	93
30	93
31	94
41	96
38	98
38	99
33	97
34	97
40	98
36	98
41	100
25	93
34	94
35	99
43	100
27	92
32	100
30	99
33	98
42	97
46	100
26	90
20	93
32	97
39	100
37	100
35	93
38	95
31	89
34	100
39	89
42	91
34	98
35	94
47	98
44	98
41	100
40	100
45	100
29	97
35	95
42	100
44	100
36	90
47	98
50	98
46	98
42	98
42	95
51	98
48	98
50	100
42	96
41	98
